#ACTIVE;RulGrp;Srctab;SrcKey;Srcfld;Srctyp;Destab;DesKey;Desfld;Deslen;Destyp;Operate;Con1;Con2;con3
Y;1;AFTTAB;URNO;URNO;NUMBER;T1_SAC_ALCS;SEQUENCE_NUMBER;SEQUENCE_NUMBER;22;NUMBER;;;;
Y;1;AFTTAB;URNO;CDAT;DATE;T1_SAC_ALCS;SEQUENCE_NUMBER;ROW_DATE_TIME;100;DATE;CURRENTTIME;DATELOC;;
Y;1;AFTTAB;URNO;FTYP;;T1_SAC_ALCS;SEQUENCE_NUMBER;ACTION_CODE;2;NUMBER;ACTION_CODE;;;
Y;1;AFTTAB;URNO;FLNO;;T1_SAC_ALCS;SEQUENCE_NUMBER;FLIGHT_NUMBER;5;;;;;
Y;1;AFTTAB;URNO;ALC3;;T1_SAC_ALCS;SEQUENCE_NUMBER;CARRIER_CODE;3;;;;;
Y;1;AFTTAB;URNO;STOA;;T1_SAC_ALCS;SEQUENCE_NUMBER;ORIGINAL_FLIGHT_DATE;8;;TIMEFORMAT;DATELOC;YEAR_MON_DAY;
Y;1;AFTTAB;URNO;STOA;;T1_SAC_ALCS;SEQUENCE_NUMBER;ORIGINAL_FLIGHT_TIME;4;;TIMEFORMAT;DATELOC;HOUR_MIN;
Y;1;AFTTAB;URNO;TIFA;;T1_SAC_ALCS;SEQUENCE_NUMBER;LATEST_FLIGHT_DATE;8;;TIMEFORMAT;DATELOC;YEAR_MON_DAY;
Y;1;AFTTAB;URNO;TIFA;;T1_SAC_ALCS;SEQUENCE_NUMBER;LATEST_FLIGHT_TIME;4;;TIMEFORMAT;DATELOC;HOUR_MIN;
Y;1;AFTTAB;URNO;FLTI;;T1_SAC_ALCS;SEQUENCE_NUMBER;FLIGHT_SECTOR;1;;;;;
Y;1;AFTTAB;URNO;REMP;;T1_SAC_ALCS;SEQUENCE_NUMBER;OPS_REMARKS;3;;;;;
Y;1;AFTTAB;URNO;ACT3;;T1_SAC_ALCS;SEQUENCE_NUMBER;EQUIPMENT;3;;;;;
Y;1;AFTTAB;URNO;VIAL;;T1_SAC_ALCS;SEQUENCE_NUMBER;DEST_CITY_1;3;;VIA;;;
Y;1;AFTTAB;URNO;VIAL;;T1_SAC_ALCS;SEQUENCE_NUMBER;DEST_CITY_2;3;;VIA;;;
Y;1;AFTTAB;URNO;VIAL;;T1_SAC_ALCS;SEQUENCE_NUMBER;DEST_CITY_3;3;;VIA;;;
Y;1;AFTTAB;URNO;VIAL;;T1_SAC_ALCS;SEQUENCE_NUMBER;DEST_CITY_4;3;;VIA;;;
Y;1;AFTTAB;URNO;VIAL;;T1_SAC_ALCS;SEQUENCE_NUMBER;DEST_CITY_5;3;;VIA;;;
Y;1;AFTTAB;URNO;REGN;;T1_SAC_ALCS;SEQUENCE_NUMBER;REG;12;;;;;
