#ACTIVE;RulGrp;Srctab;SrcKey;Srcfld;Srctyp;Destab;DesKey;Desfld;Deslen;Destyp;Operate;Con1;Con2
Y;2;AFTTAB;URNO;URNO;NUMBER;T3_SAC_ALCS;SEQUENCE_NUMBER;SEQUENCE_NUMBER;22;NUMBER;;;
Y;2;AFTTAB;URNO;CDAT;DATE;T3_SAC_ALCS;SEQUENCE_NUMBER;ROW_DATE_TIME;100;DATE;CURRENTTIME;DATELOC;
Y;2;AFTTAB;URNO;FLTN;;T3_SAC_ALCS;SEQUENCE_NUMBER;FLIGHT_NUMBER;4;;;;
Y;2;AFTTAB;URNO;FLNS;;T3_SAC_ALCS;SEQUENCE_NUMBER;FLIGHT_SUFFIX;4;;;;
Y;2;AFTTAB;URNO;ALC3;;T3_SAC_ALCS;SEQUENCE_NUMBER;CARRIER_CODE_OP;3;;;;
Y;2;AFTTAB;URNO;ALC3;;T3_SAC_ALCS;SEQUENCE_NUMBER;CARRIER_CODE_BSM;3;;;;
Y;2;AFTTAB;URNO;STOD;;T3_SAC_ALCS;SEQUENCE_NUMBER;FLIGHT_DATE;8;;TIMEFORMAT;DATELOC;YEAR_MON_DAY
Y;2;AFTTAB;URNO;STOD;;T3_SAC_ALCS;SEQUENCE_NUMBER;ORIGINAL_FLIGHT_DATE;8;;TIMEFORMAT;DATELOC;YEAR_MON_DAY
Y;2;AFTTAB;URNO;STOD;;T3_SAC_ALCS;SEQUENCE_NUMBER;ORIGINAL_FLIGHT_TIME;4;;TIMEFORMAT;DATELOC;HOUR_MIN
Y;2;AFTTAB;URNO;TIFD;;T3_SAC_ALCS;SEQUENCE_NUMBER;LATEST_FLIGHT_DATE;8;;TIMEFORMAT;DATELOC;YEAR_MON_DAY
Y;2;AFTTAB;URNO;TIFD;;T3_SAC_ALCS;SEQUENCE_NUMBER;LATEST_FLIGHT_TIME;4;;TIMEFORMAT;DATELOC;HOUR_MIN
Y;2;AFTTAB;URNO;FLTI;;T3_SAC_ALCS;SEQUENCE_NUMBER;FLIGHT_SECTOR;1;;;;
Y;2;AFTTAB;URNO;REMP;;T3_SAC_ALCS;SEQUENCE_NUMBER;OPS_REMARKS;3;;;;
Y;2;AFTTAB;URNO;ACT3;;T3_SAC_ALCS;SEQUENCE_NUMBER;EQUIPMENT;3;;;;
Y;2;AFTTAB;URNO;NOSE;;T3_SAC_ALCS;SEQUENCE_NUMBER;PAX_CAPACITY;3;;;;
Y;2;AFTTAB;URNO;BLT1;;T3_SAC_ALCS;SEQUENCE_NUMBER;LOCATION_1;5;;;;
Y;2;AFTTAB;URNO;BLT2;;T3_SAC_ALCS;SEQUENCE_NUMBER;LOCATION_2;5;;;;
