#ACTIVE;RulGrp;Srctab;SrcKey;Srcfld;Srctyp;Destab;DesKey;Desfld;Deslen;Destyp;Operate;Con1;Con2;con3
Y;1;AFTTAB;URNO;CDAT;DATE;Current_Arrivals;AID;ROW_CREATE_TIME;100;DATE;CURRENTTIME;DATELOC;;
Y;1;AFTTAB;URNO;LSTU;DATE;Current_Arrivals;AID;ROW_DATE_TIME;100;DATE;CURRENTTIME;DATELOC;;
Y;1;AFTTAB;URNO;USEC;;Current_Arrivals;AID;CUSER;30;;;;;
Y;1;AFTTAB;URNO;USEU;;Current_Arrivals;AID;MUSER;30;;;;;
N;1;AFTTAB;URNO;URNO;;Current_Arrivals;AID;SOURCE;8;;;tbthdl;;
Y;1;AFTTAB;URNO;URNO;NUMBER;Current_Arrivals;AID;AID;22;;;NUMBER;;
Y;1;AFTTAB;URNO;ADID;;Current_Arrivals;AID;AOD;3;;;;;
Y;1;AFTTAB;URNO;ALC3;;Current_Arrivals;AID;FLC;3;;;;;
Y;1;AFTTAB;URNO;FLTN;;Current_Arrivals;AID;FLN;4;;;;;
Y;1;AFTTAB;URNO;FLNS;;Current_Arrivals;AID;FLX;1;;;;;
Y;1;AFTTAB;URNO;FLNO;;Current_Arrivals;AID;FLT;8;;;;;
Y;1;AFTTAB;URNO;ALC2;;Current_Arrivals;AID;FLS;3;;;;;
Y;1;AFTTAB;URNO;FKEY;;Current_Arrivals;AID;FLK;20;;FKEYCOMBINATION;FTYP-STOA-FLNO-ADID;DATELOC;
Y;1;AFTTAB;URNO;STOA;;Current_Arrivals;AID;SDT;8;;TIMEFORMAT;DATELOC;YEAR_MON_DAY;
Y;1;AFTTAB;URNO;STOA;;Current_Arrivals;AID;DAY;1;;WEEKDAY;DATELOC;;
Y;1;AFTTAB;URNO;STOA;;Current_Arrivals;AID;DOP;2;;OPERDAY;DATELOC;;
Y;1;AFTTAB;URNO;ALC2;;Current_Arrivals;AID;PLC;3;;;;;
Y;1;AFTTAB;URNO;FLTN;;Current_Arrivals;AID;PLN;4;;;;;
Y;1;AFTTAB;URNO;FLNS;;Current_Arrivals;AID;PLX;1;;;;;
Y;1;AFTTAB;URNO;FLNO;;Current_Arrivals;AID;PLT;8;;;;;
Y;1;ALTTAB;URNO;ALC3;;Current_Arrivals;AID;PCN;30;;REF;ALC3;ALFN;
Y;1;AFTTAB;URNO;ALC3;;Current_Arrivals;AID;ALN;3;;;;;
Y;1;AFTTAB;URNO;ALC3;;Current_Arrivals;AID;LKC;3;;ROTATION;;;
Y;1;AFTTAB;URNO;FLTN;;Current_Arrivals;AID;LKN;4;;ROTATION;;;
Y;1;AFTTAB;URNO;FLNS;;Current_Arrivals;AID;LKX;1;;ROTATION;;;
Y;1;AFTTAB;URNO;FLNO;;Current_Arrivals;AID;LKF;8;;ROTATION;;;
Y;1;AFTTAB;URNO;STOD;;Current_Arrivals;AID;LKD;1;;ROTATIONWEEKDAY;DATELOC;;
Y;1;AFTTAB;URNO;STOD;;Current_Arrivals;AID;LKS;8;;ROTATION;;;
Y;1;AFTTAB;URNO;ORG3;;Current_Arrivals;AID;ORG;3;;;;;
Y;1;AFTTAB;URNO;VIAL;;Current_Arrivals;AID;VI1;3;;VIA;;;
Y;1;AFTTAB;URNO;VIAL;;Current_Arrivals;AID;VI2;3;;VIA;;;
Y;1;AFTTAB;URNO;VIAL;;Current_Arrivals;AID;VI3;3;;VIA;;;
Y;1;AFTTAB;URNO;FLTI;;Current_Arrivals;AID;FSC;1;;;;;
Y;1;AFTTAB;URNO;FTYP;;Current_Arrivals;AID;NAT;3;;;;;
Y;1;AFTTAB;URNO;STYP;;Current_Arrivals;AID;FST;1;;;;;
Y;1;AFTTAB;URNO;REMP;;Current_Arrivals;AID;REM;3;;;;;
Y;1;AFTTAB;URNO;PAXT;;Current_Arrivals;AID;PAX;3;;;;;
Y;1;AFTTAB;URNO;PAXT;;Current_Arrivals;AID;PXS;3;;;;;
Y;1;AFTTAB;URNO;URNO;NUMBER;Current_Arrivals;AID;DID;22;;ROTATION;NUMBER;;
Y;1;AFTTAB;URNO;STOA;;Current_Arrivals;AID;STA;4;;TIMEFORMAT;DATELOC;HOUR_MIN;
Y;1;AFTTAB;URNO;ETOA;;Current_Arrivals;AID;ETA;4;;TIMEFORMAT;DATELOC;HOUR_MIN;
Y;1;AFTTAB;URNO;ETOA;;Current_Arrivals;AID;EDT;8;;TIMEFORMAT;DATELOC;YEAR_MON_DAY;
Y;1;AFTTAB;URNO;TIFA;;Current_Arrivals;AID;LTA;4;;TIMEFORMAT;DATELOC;HOUR_MIN;
Y;1;AFTTAB;URNO;TIFA;;Current_Arrivals;AID;LDA;8;;TIMEFORMAT;DATELOC;YEAR_MON_DAY;
Y;1;AFTTAB;URNO;LAND;;Current_Arrivals;AID;TDT;4;;TIMEFORMAT;DATELOC;HOUR_MIN;
Y;1;AFTTAB;URNO;LAND;;Current_Arrivals;AID;TDD;8;;TIMEFORMAT;DATELOC;YEAR_MON_DAY;
Y;1;AFTTAB;URNO;ONBL;;Current_Arrivals;AID;ATA;4;;TIMEFORMAT;DATELOC;HOUR_MIN;
Y;1;AFTTAB;URNO;ONBL;;Current_Arrivals;AID;ADT;8;;TIMEFORMAT;DATELOC;YEAR_MON_DAY;
Y;1;AFTTAB;URNO;TRMA;;Current_Arrivals;AID;TER;2;;;;;
Y;1;AFTTAB;URNO;BLT1;;Current_Arrivals;AID;CA1;5;;;;;
Y;1;AFTTAB;URNO;BLT2;;Current_Arrivals;AID;CA2;5;;;;;
Y;1;AFTTAB;URNO;B1BA;;Current_Arrivals;AID;FBT;4;;TIMEFORMAT;DATELOC;HOUR_MIN;
Y;1;AFTTAB;URNO;B1BA;;Current_Arrivals;AID;FBD;8;;TIMEFORMAT;DATELOC;YEAR_MON_DAY;
Y;1;AFTTAB;URNO;B1EA;;Current_Arrivals;AID;LBT;4;;TIMEFORMAT;DATELOC;YEAR_MON_DAY;
Y;1;AFTTAB;URNO;B1EA;;Current_Arrivals;AID;LBD;8;;TIMEFORMAT;DATELOC;;;
Y;1;AFTTAB;URNO;PSTA;;Current_Arrivals;AID;GAT;5;;TIMEFORMAT;DATELOC;;;
Y;1;AFTTAB;URNO;REGN;;Current_Arrivals;AID;REG;12;;;;;
Y;1;AFTTAB;URNO;NOSE;;Current_Arrivals;AID;CAP;3;;;;;
Y;1;AFTTAB;URNO;RWYA;;Current_Arrivals;AID;RWY;4;;;;;
Y;1;AFTTAB;URNO;ACT3;;Current_Arrivals;AID;TYP;3;;;;;
Y;1;AFTTAB;URNO;ACT3;;Current_Arrivals;AID;TYS;3;;;;;
Y;1;AFTTAB;URNO;STOA;;Current_Arrivals;AID;GTA;4;;TIMEFORMAT;DATELOC;HOUR_MIN;
Y;1;AFTTAB;URNO;STOA;;Current_Arrivals;AID;GAD;8;;TIMEFORMAT;DATELOC;YEAR_MON_DAY;
Y;1;AFTTAB;URNO;JFNO;;Current_Arrivals;AID;CSF;49;;CODESHAREFORMAT;ALC2;;
Y;1;AFTTAB;URNO;JFNO;;Current_Arrivals;AID;LSF;49;;CODESHAREFORMAT;ALC3;;
Y;1;AFTTAB;URNO;JFNO;;Current_Arrivals;AID;ASF;49;;CODESHAREFORMAT;ALC3;;
Y;1;AFTTAB;URNO;EXT1;;Current_Arrivals;AID;ZON;3;;ZON;;;
Y;1;APTTAB;URNO;ORG3;;Current_Arrivals;AID;CTY;18;;REF;APC3;APFN;
Y;1;APTTAB;URNO;VIAL;;Current_Arrivals;AID;CT1;18;;VIAREF;APC3;APFN;
Y;1;APTTAB;URNO;VIAL;;Current_Arrivals;AID;CT2;18;;VIAREF;APC3;APFN;
Y;1;APTTAB;URNO;VIAL;;Current_Arrivals;AID;CT3;18;;VIAREF;APC3;APFN;
#ACTIVE;RulGrp;Srctab;SrcKey;Srcfld;Srctyp;Destab;DesKey;Desfld;Deslen;Destyp;Operate;Con1;Con2;con3
Y;2;AFTTAB;URNO;CDAT;DATE;Current_Departures;DID;ROW_CREATE_TIME;100;DATE;CURRENTTIME;DATELOC;;
Y;2;AFTTAB;URNO;LSTU;DATE;Current_Departures;DID;ROW_DATE_TIME;100;DATE;CURRENTTIME;DATELOC;;
Y;2;AFTTAB;URNO;USEC;;Current_Departures;DID;CUSER;30;;;;;
Y;2;AFTTAB;URNO;USEU;;Current_Departures;DID;MUSER;30;;;;;
N;2;AFTTAB;URNO;URNO;;Current_Departures;DID;SOURCE;8;;;tbthdl;;
Y;2;AFTTAB;URNO;URNO;NUMBER;Current_Departures;DID;DID;22;;;NUMBER;;
Y;2;AFTTAB;URNO;ADID;;Current_Departures;DID;AOD;3;;;;;
Y;2;AFTTAB;URNO;ALC3;;Current_Departures;DID;FLC;3;;;;;
