#ACTIVE;RulGrp;Srctab;SrcKey;Srcfld;Srctyp;Destab;DesKey;Desfld;Deslen;Destyp;Operate;Con1;Con2
Y;2;AFTTAB;URNO;CDAT;DATE;Current_Departures;DID;ROW_CREATE_TIME;100;DATE;CURRENTTIME;DATELOC;
Y;2;AFTTAB;URNO;LSTU;DATE;Current_Departures;DID;ROW_DATE_TIME;100;DATE;CURRENTTIME;DATELOC;
Y;2;AFTTAB;URNO;USEC;;Current_Departures;DID;CUSER;30;;;;
Y;2;AFTTAB;URNO;USEU;;Current_Departures;DID;MUSER;30;;;;
Y;2;AFTTAB;URNO;URNO;NUMBER;Current_Departures;DID;DID;22;;;NUMBER;
Y;2;AFTTAB;URNO;ADID;;Current_Departures;DID;AOD;3;;;;
Y;2;AFTTAB;URNO;ALC3;;Current_Departures;DID;FLC;3;;;;
Y;2;AFTTAB;URNO;FLTN;;Current_Departures;DID;FLN;4;;;;
Y;2;AFTTAB;URNO;FLNS;;Current_Departures;DID;FLX;1;;;;
Y;2;AFTTAB;URNO;FLNO;;Current_Departures;DID;FLT;8;;;;
Y;2;AFTTAB;URNO;ALC2;;Current_Departures;DID;FLS;3;;;;
Y;2;AFTTAB;URNO;FKEY;;Current_Departures;DID;FLK;20;;;;
Y;2;AFTTAB;URNO;ALC3;;Current_Departures;DID;ALN;3;;;;
Y;2;AFTTAB;URNO;STOD;;Current_Departures;DID;SDT;8;;TIMEFORMAT;DATELOC;YEAR_MON_DAY
Y;2;AFTTAB;URNO;STOD;;Current_Departures;DID;DAY;1;;WEEKDAY;;
Y;2;AFTTAB;URNO;STOD;;Current_Departures;DID;DOP;2;;OPERDAY;DATELOC;
Y;2;AFTTAB;URNO;ALC2;;Current_Departures;DID;PLC;3;;;;
Y;2;AFTTAB;URNO;FLTN;;Current_Departures;DID;PLN;4;;;;
Y;2;AFTTAB;URNO;FLNS;;Current_Departures;DID;PLX;1;;;;
Y;2;AFTTAB;URNO;FLNO;;Current_Departures;DID;PLT;8;;;;
Y;2;ALTTAB;URNO;ALC3;;Current_Departures;DID;PCN;30;;REF;ALC3;ALFN
Y;2;AFTTAB;URNO;ALC3;;Current_Departures;DID;LKC;3;;ROTATION;;
Y;2;AFTTAB;URNO;FLTN;;Current_Departures;DID;LKN;4;;ROTATION;;
Y;2;AFTTAB;URNO;FLNS;;Current_Departures;DID;LKX;1;;ROTATION;;
Y;2;AFTTAB;URNO;FLNO;;Current_Departures;DID;LKF;8;;ROTATION;;
Y;2;AFTTAB;URNO;STOA;;Current_Departures;DID;LKD;1;;ROTATION;;
Y;2;AFTTAB;URNO;STOA;;Current_Departures;DID;LKS;8;;ROTATION;;
N;2;AFTTAB;URNO;JCNT;;Current_Departures;DID;SST;2;;CODESHARE;;
N;2;AFTTAB;URNO;ALC3;;Current_Departures;DID;MFC;3;;CODESHARE1;;
N;2;AFTTAB;URNO;FLTN;;Current_Departures;DID;MFN;4;;CODESHARE1;;
N;2;AFTTAB;URNO;FLNS;;Current_Departures;DID;MFX;1;;CODESHARE1;;
N;2;AFTTAB;URNO;FLNO;;Current_Departures;DID;MFF;1;;CODESHARE1;;
Y;2;AFTTAB;URNO;DES3;;Current_Departures;DID;DES;3;;;;
Y;2;AFTTAB;URNO;VIAL;;Current_Departures;DID;VI1;3;;VIA;;
Y;2;AFTTAB;URNO;VIAL;;Current_Departures;DID;VI2;3;;VIA;;
Y;2;AFTTAB;URNO;VIAL;;Current_Departures;DID;VI3;3;;VIA;;
Y;2;AFTTAB;URNO;FLDI;;Current_Departures;DID;FSC;1;;;;
Y;2;AFTTAB;URNO;FTYP;;Current_Departures;DID;NAT;3;;;;
Y;2;AFTTAB;URNO;STYP;;Current_Departures;DID;FST;1;;;;
Y;2;AFTTAB;URNO;REMP;;Current_Departures;DID;REM;3;;;;
Y;2;AFTTAB;URNO;PAXT;;Current_Departures;DID;PAX;3;;;;
N;2;AFTTAB;URNO;CKIF,CKIT;;Current_Departures;DID;CID;11;;;;
N;2;CCATAB;URNO;UNRO;;Current_Departures;DID;CHS;1;;COUNTER;CKBA;FLNU
N;2;CCATAB;URNO;URNO;;Current_Departures;DID;CIO;4;;COUNTER;CKBS;FLNU
N;2;CCATAB;URNO;URNO;;Current_Departures;DID;CIC;4;;COUNTER;CKES;FLNU
